candidate_rows,duplicate_imphash_groups,duplicate_tlsh_groups,family,metadata_query_status,unique_file_sizes,unique_imphash,unique_tlsh,verified_rows
307,16,0,ACRStealer,ok,283,98,198,298
322,14,0,Arechclient2,ok,258,63,199,299
324,5,0,AsyncRAT,ok,166,21,200,300
384,4,0,ConnectWise,ok,155,4,200,300
361,1,0,DarkTortilla,ok,268,2,200,300
372,8,0,NanoCore,ok,84,17,200,300
311,5,0,QuasarRAT,ok,195,26,200,300
384,8,0,SalatStealer,ok,161,35,200,300
390,29,0,ValleyRAT,ok,282,147,200,300
365,10,0,Vidar,ok,264,30,200,300
