accuracy_mean,accuracy_std,architecture,best_accuracy,best_macro_f1,best_seed,completed_seeds,image_size,macro_f1_mean,macro_f1_std,mean_benign_false_positive_rate,task
0.5489404641775983,0.0,inception_small,0.5489404641775983,0.5440552195553833,1337,1,256,0.5440552195553833,0.0,0.0,mixed_multiclass
0.4117053481331988,0.0,separable_extreme,0.4117053481331988,0.4720918776717041,1337,1,256,0.4720918776717041,0.0,0.0,mixed_multiclass
0.4056508577194753,0.0,fixed_edge_bank,0.4056508577194753,0.4534021274223874,1337,1,256,0.4534021274223874,0.0,0.0,mixed_multiclass
0.40766902119071646,0.0,residual_small,0.40766902119071646,0.44741498984295613,1337,1,256,0.44741498984295613,0.0,0.0,mixed_multiclass
0.37436932391523714,0.0,patch_shuffle_cnn,0.37436932391523714,0.4077741852278334,1337,1,256,0.4077741852278334,0.0,0.0,mixed_multiclass
0.4157416750756811,0.0,compact_cnn,0.4157416750756811,0.393589547048404,1337,1,256,0.393589547048404,0.0,0.0,mixed_multiclass
0.4298688193743693,0.0,squeeze_excite_cnn,0.4298688193743693,0.3837784577146358,1337,1,256,0.3837784577146358,0.0,0.0,mixed_multiclass
0.3218970736629667,0.0,barcode_dilated,0.3218970736629667,0.32741858187199596,1337,1,256,0.32741858187199596,0.0,0.0,mixed_multiclass
0.31987891019172554,0.0,large_kernel_texture,0.31987891019172554,0.2643258160306353,1337,1,256,0.2643258160306353,0.0,0.0,mixed_multiclass
0.2129162462159435,0.0,multiscale_pyramid,0.2129162462159435,0.1728014715765809,1337,1,256,0.1728014715765809,0.0,0.0,mixed_multiclass
0.27749747729566093,0.0,random_reservoir,0.27749747729566093,0.08286584793056603,1337,1,256,0.08286584793056603,0.0,0.0,mixed_multiclass
0.7540322580645161,0.0,inception_small,0.7540322580645161,0.7495267925370207,1337,1,256,0.7495267925370207,0.0,0.0,malware_family
0.7580645161290323,0.0,separable_extreme,0.7580645161290323,0.745822584447086,1337,1,256,0.745822584447086,0.0,0.0,malware_family
0.7459677419354839,0.0,squeeze_excite_cnn,0.7459677419354839,0.7417892622614579,1337,1,256,0.7417892622614579,0.0,0.0,malware_family
0.7298387096774194,0.0,residual_small,0.7298387096774194,0.7317901760873415,1337,1,256,0.7317901760873415,0.0,0.0,malware_family
0.7278225806451613,0.0,patch_shuffle_cnn,0.7278225806451613,0.7140783258557353,1337,1,256,0.7140783258557353,0.0,0.0,malware_family
0.7258064516129032,0.0,compact_cnn,0.7258064516129032,0.7079555186334956,1337,1,256,0.7079555186334956,0.0,0.0,malware_family
0.7056451612903226,0.0,fixed_edge_bank,0.7056451612903226,0.6939719064572409,1337,1,256,0.6939719064572409,0.0,0.0,malware_family
0.6370967741935484,0.0,multiscale_pyramid,0.6370967741935484,0.5888526517253032,1337,1,256,0.5888526517253032,0.0,0.0,malware_family
0.48185483870967744,0.0,large_kernel_texture,0.48185483870967744,0.46268713373784764,1337,1,256,0.46268713373784764,0.0,0.0,malware_family
0.4092741935483871,0.0,barcode_dilated,0.4092741935483871,0.37016891737991325,1337,1,256,0.37016891737991325,0.0,0.0,malware_family
0.3245967741935484,0.0,random_reservoir,0.3245967741935484,0.28678011113056,1337,1,256,0.28678011113056,0.0,0.0,malware_family
1.0,0.0,compact_cnn,1.0,1.0,1337,1,256,1.0,0.0,0.0,binary
1.0,0.0,inception_small,1.0,1.0,1337,1,256,1.0,0.0,0.0,binary
1.0,0.0,separable_extreme,1.0,1.0,1337,1,256,1.0,0.0,0.0,binary
1.0,0.0,patch_shuffle_cnn,1.0,1.0,1337,1,256,1.0,0.0,0.0,binary
1.0,0.0,squeeze_excite_cnn,1.0,1.0,1337,1,256,1.0,0.0,0.0,binary
0.998991935483871,0.0,residual_small,0.998991935483871,0.9989919344594808,1337,1,256,0.9989919344594808,0.0,0.0,binary
0.9979838709677419,0.0,multiscale_pyramid,0.9979838709677419,0.9979838627725952,1337,1,256,0.9979838627725952,0.0,0.0,binary
0.9979838709677419,0.0,fixed_edge_bank,0.9979838709677419,0.9979838627725952,1337,1,256,0.9979838627725952,0.0,0.0,binary
0.9969758064516129,0.0,barcode_dilated,0.9969758064516129,0.996975778792852,1337,1,256,0.996975778792852,0.0,0.006048387096774193,binary
0.9959677419354839,0.0,large_kernel_texture,0.9959677419354839,0.9959676763735101,1337,1,256,0.9959676763735101,0.0,0.0,binary
0.9919354838709677,0.0,random_reservoir,0.9919354838709677,0.9919354838709677,1337,1,256,0.9919354838709677,0.0,0.008064516129032258,binary
