candidate_rows,duplicate_imphash_groups,duplicate_tlsh_groups,family,metadata_query_status,unique_file_sizes,unique_imphash,unique_tlsh,verified_rows
980,15,0,SalatStealer,ok,243,55,400,500
974,55,0,ValleyRAT,ok,447,255,400,500
957,10,0,Gh0stRAT,ok,137,47,99,147
932,0,0,njrat,ok,0,0,0,0
921,4,0,ConnectWise,ok,168,4,226,326
918,10,0,Vidar,ok,264,30,200,300
908,10,0,NanoCore,ok,100,21,221,321
901,0,0,LummaStealer,ok,0,0,0,0
893,0,0,CobaltStrike,ok,0,0,0,0
889,5,0,QuasarRAT,ok,195,26,200,300
861,0,0,a310Logger,ok,0,0,0,0
840,5,0,AsyncRAT,ok,166,21,200,300
774,0,0,DarkCloud,ok,0,0,0,0
744,0,0,GuLoader,ok,0,0,0,0
562,17,0,ACRStealer,ok,298,111,214,314
549,1,0,DarkTortilla,ok,268,2,200,300
545,0,0,MassLogger,ok,0,0,0,0
